"index","Login Timestamp","User ID","Round-Trip Time [ms]","IP Address","Country","Region","City","ASN","User Agent String","Browser Name and Version","OS Name and Version","Device Type","Login Successful","Is Attack IP","Is Account Takeover"
"0","4330.8","-4.32448E+18","","10.0.65.171","NO","-","-","29695","Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Gecko/20150101 Firefox/20.0.0.1618 (Chrome variation/248113","Firefox 20.0.0.1618","iOS 13.4","mobile","FALSE","FALSE","FALSE"
"1","4343.5","-4.32448E+18","","194.87.207.6","AU","-","-","60117","Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Chrome/46.0.2490.76 Mobile Safari/537.36 Browser","Chrome Mobile 46.0.2490","Android 4.1","mobile","FALSE","FALSE","FALSE"
"2","4355.9","-3.28414E+18","","81.167.144.58","NO","Vestland","Urangsvag","29695","Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277457","Android 2.3.3.2672","iOS 7.1","mobile","TRUE","FALSE","FALSE"
"3","4356.2","-4.32448E+18","","170.39.78.152","US","-","-","393398","Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) Build/OPS27.82-19-4; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36","Chrome Mobile WebView 85.0.4183","Android 4.1","mobile","FALSE","FALSE","FALSE"
"4","4359.4","-4.61885E+18","","10.0.0.47","US","Virginia","Ashburn","398986","Mozilla/5.0  (Linux; U; Android 2.2) Build/NMA26.42-169; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.120 Mobile Safari/537.36","Chrome Mobile WebView 85.0.4183","Android 2.2","mobile","FALSE","TRUE","FALSE"
"5","4405.2","-4.32448E+18","","209.236.123.126","US","-","-","393398","Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) Build/NCQS26.69-64-5; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36","Chrome Mobile WebView 85.0.4183","Android 4.1","mobile","FALSE","TRUE","FALSE"
"6","4407.9","7.24653E+18","","80.202.228.214","NO","-","-","15659","Mozilla/5.066704189 Mozilla/5.0  (X11; CrOS x86_64 13020.67.3) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.19.81 Safari/537.36","Chrome 69.0.3497.17.19","Chrome OS 13020.67.3","desktop","TRUE","FALSE","FALSE"
"7","4412.8","-3.24398E+18","","170.39.78.177","US","-","-","393398","Mozilla/5.0 (Linux; Android 10.0.99; H30-U10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.1931.96 Mobile Safari/537.36 variation/14113","Chrome Mobile 81.0.4044.1931","Android 10.0.99","mobile","FALSE","FALSE","FALSE"
"8","4417.5","8.076E+18","","10.0.61.212","NO","-","-","29695","Mozilla/5.0 (Linux; U; Android 7.1.2; en-gb; Redmi 4A Build/N2G47H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.141 Mobile Safari/537.36 XiaoMi/MiuiBrowser/12.6.5-go","MiuiBrowser 12.6.5","Android 7.1.2","mobile","FALSE","FALSE","FALSE"
"9","4419.1","-3.06594E+18","","92.221.109.162","NO","Rogaland","Sandnes","29695","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.28.92 Safari/537.36","Chrome 69.0.3497.17.28","Mac OS X 10.14.6","desktop","TRUE","FALSE","FALSE"
"10","4419.3","5.9325E+18","","84.48.61.135","NO","-","-","15659","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4202.0 Safari/537.36","Chrome 86.0.4202","Mac OS X 10.14.6","desktop","TRUE","FALSE","FALSE"
"11","4424.8","-9.08083E+18","","156.52.48.83","NO","Viken","Gressvik","29695","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.203.88 Safari/537.36","Chrome 79.0.3945.192.203","Mac OS X 10.14.6","desktop","TRUE","FALSE","FALSE"
"12","4425.8","5.72968E+18","","170.39.79.164","US","-","-","393398","Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Chrome/80.0.3987.162 Mobile Safari/537.36 PHX/5.0","Chrome Mobile 80.0.3987","Android 4.1","mobile","FALSE","FALSE","FALSE"
"13","4426.8","-4.32448E+18","","46.212.51.170","NO","Viken","Klofta","41164","Mozilla/5.0  (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko Chrome/86.0.4240.378.111 Safari/537.36/BMhR5lqd-29/BMhR5lqd-29/BMhR5lqd-29","Chrome 86.0.4240.378","Chromecast 1.36.159268","desktop","FALSE","FALSE","FALSE"
"14","4429.2","-4.32448E+18","","10.0.67.86","NO","Troms og Finnmark","Bjornevatn","29695","Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277457","Android 2.3.3.2672","iOS 7.1","mobile","FALSE","FALSE","FALSE"
"15","4430.5","-8.29667E+18","1123","82.147.58.93","NO","Oslo County","Oslo","29492","Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277457","Android 2.3.3.2672","iOS 7.1","mobile","TRUE","FALSE","FALSE"
"16","4431.9","-4.66394E+18","","81.166.109.168","NO","Rogaland","Haugesund","29695","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4202.0 Safari/537.36","Chrome 86.0.4202","Mac OS X 10.14.6","desktop","TRUE","FALSE","FALSE"
"17","4433.0","-4.32448E+18","","115.69.219.34","ID","East Java","Surabaya","38778","Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Plus Build/NCRS26.58-44-25; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.81 Mobile Safari/537.36","Chrome Mobile WebView 85.0.4183","iOS 13.4","mobile","FALSE","FALSE","FALSE"
"18","4433.1","-4.32448E+18","","46.183.175.255","NO","-","-","197475","Mozilla/5.0 (X11; CrOS aarch64 11316.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.97 Safari/537.36","Chrome 72.0.3626","Chrome OS 11316.123.0","desktop","FALSE","FALSE","FALSE"
"19","4433.2","1.2113E+18","","10.0.77.207","NO","Oslo County","Oslo","29695","Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.19.95 Safari/537.36","Chrome 69.0.3497.17.19","Chrome OS 5978.98.0","desktop","TRUE","FALSE","FALSE"
"20","4436.5","6.38664E+18","","109.247.53.244","NO","Agder","Byglandsfjord","29695","Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277457","Android 2.3.3.2672","iOS 7.1","mobile","TRUE","FALSE","FALSE"
"21","4439.6","-6.82421E+18","","81.166.116.24","NO","Rogaland","Stavanger","29695","Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/90.0.4411.0 Safari/537.36 variation/1036","Chrome 90.0.4411","Chrome OS 5978.98.0","desktop","TRUE","FALSE","FALSE"
"22","4440.2","9.13347E+18","","38.135.39.102","US","-","-","393398","Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Chrome/51.0.2704.81 Mobile Safari/537.36 variation/42843","Chrome Mobile 51.0.2704","Android 4.1","mobile","FALSE","TRUE","FALSE"
"23","4440.4","-4.32448E+18","","92.220.92.118","BR","-","-","29695","Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277457","Android 2.3.3.2672","iOS 7.1","mobile","FALSE","FALSE","FALSE"
"24","4440.5","-4.32448E+18","","23.137.225.84","US","-","-","393398","Mozilla/5.0  (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; https://github.com/das-group/rba-dataset; IEMobile/11.0; Microsoft; Lumia 430 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko Chrome/80.0.3987.99 Mobile Safari/537.36 PHX/5.5","Chrome Mobile 80.0.3987","Windows Phone 8.1","mobile","FALSE","FALSE","FALSE"
"25","4441.7","7.03225E+18","","89.162.71.53","NO","Nordland","Mo i Rana","29695","Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/277457","Android 2.3.3.2672","iOS 7.1","mobile","TRUE","FALSE","FALSE"
